model,language,db_count,row_count,macro_em_old_mean,macro_em_new_mean,macro_ex_mean,micro_em_new_mean,micro_ex_mean,total_em_changed_rows
deepseek_deepseek_v3_2,Bengali,8,491,0.07577728014244252,0.04049574092990306,0.5964861346075832,0.032586558044806514,0.5519348268839104,24
deepseek_deepseek_v3_2,English,8,479,0.0854066992785696,0.03423800470319267,0.6353838972297027,0.027139874739039668,0.5991649269311065,24
deepseek_deepseek_v3_2,Hindi,8,492,0.0841562169561516,0.0321915536443462,0.6083735316139864,0.026422764227642278,0.5691056910569106,29
deepseek_deepseek_v3_2,Hinglish,8,493,0.08635711124359911,0.03752890831772226,0.6309659706112424,0.030425963488843813,0.592292089249493,30
deepseek_deepseek_v3_2,Marathi,8,491,0.07395045009517424,0.033871710376205136,0.6061191098336247,0.026476578411405296,0.5641547861507128,23
deepseek_deepseek_v3_2,Tamil,8,488,0.06880085808348874,0.037596754750213714,0.6064590883858937,0.028688524590163935,0.5573770491803278,23
deepseek_deepseek_v3_2,Telugu,8,485,0.07925000666999121,0.030279921088778628,0.5803233373525409,0.024742268041237112,0.5360824742268041,26
default,Bengali,8,909,0.03977275110751449,0.022872629819002628,0.5735938892892412,0.0176017601760176,0.5434543454345434,25
default,English,8,909,0.05619446182078531,0.0205959326412757,0.6500557468546668,0.0165016501650165,0.6204620462046204,35
default,Hindi,7,795,0.04097994870940609,0.0216549442420895,0.5499692374347449,0.02012578616352201,0.5283018867924528,22
default,Hinglish,6,695,0.04833522728759478,0.016229298925911944,0.5619806636189053,0.011510791366906475,0.5237410071942447,17
default,Marathi,8,909,0.04679888528353425,0.020190049148012156,0.5537634753759484,0.0165016501650165,0.5247524752475248,28
default,Tamil,8,909,0.04015818492586612,0.02079296066252588,0.5369461259566092,0.015401540154015401,0.5027502750275028,25
default,Telugu,8,909,0.02915857072903205,0.016240819189056795,0.5254023900135761,0.014301430143014302,0.5137513751375138,18
meta_llama_llama_3_3_70b_instruct,Bengali,12,1087,0.07876629090365747,0.03696120343776114,0.4578614436161794,0.034958601655933765,0.44618215271389144,53
meta_llama_llama_3_3_70b_instruct,English,12,1091,0.11593608294050446,0.0505911343494247,0.5807697788851068,0.05041246562786435,0.5664527956003667,75
meta_llama_llama_3_3_70b_instruct,Hindi,11,988,0.09617306678939962,0.04485711172922267,0.4643762965334614,0.0465587044534413,0.4473684210526316,56
meta_llama_llama_3_3_70b_instruct,Hinglish,10,889,0.08159884194844984,0.033332204996004644,0.47907890731973707,0.03262092238470191,0.46006749156355453,46
meta_llama_llama_3_3_70b_instruct,Marathi,12,1087,0.08459969629457209,0.03270486261208836,0.44367187067025793,0.03311867525298988,0.43146274149034036,70
meta_llama_llama_3_3_70b_instruct,Tamil,12,1084,0.07403916904257986,0.027316923498510316,0.4357946773713946,0.026752767527675275,0.41697416974169743,58
meta_llama_llama_3_3_70b_instruct,Telugu,12,1081,0.08121420151168435,0.0229457619675011,0.41995937637241987,0.02312673450508788,0.4144310823311748,63
minimax_minimax_m2_7,Bengali,12,1087,0.12883372348491137,0.04697364124870641,0.5244436051112624,0.046918123275068994,0.5096596136154554,92
minimax_minimax_m2_7,English,12,1083,0.1575670928323839,0.06937581148892866,0.6085368927723386,0.06832871652816251,0.592797783933518,105
minimax_minimax_m2_7,Hindi,11,988,0.12422107938286675,0.0503943018118673,0.5403449195899119,0.04959514170040486,0.5253036437246964,81
minimax_minimax_m2_7,Hinglish,10,889,0.11591819755138753,0.045199647444777724,0.5054799730162746,0.04274465691788527,0.48031496062992124,69
minimax_minimax_m2_7,Marathi,12,1087,0.11401381638014166,0.05230627694831466,0.520027156142276,0.05243790248390064,0.5087396504139834,81
minimax_minimax_m2_7,Tamil,12,1087,0.08807628907407115,0.040872034863444644,0.48970196037674746,0.040478380864765406,0.47378104875804966,62
minimax_minimax_m2_7,Telugu,12,1081,0.11238760603749162,0.04679183135704875,0.4934654901416915,0.04717853839037928,0.4838112858464385,77
qwen_qwen3_8b,Bengali,10,887,0.1084636993010476,0.05722728404695101,0.4395872860392144,0.05636978579481398,0.42390078917700114,56
qwen_qwen3_8b,English,11,986,0.14062720779976337,0.07011789763370262,0.48317134700488074,0.07099391480730223,0.4766734279918864,78
qwen_qwen3_8b,Hindi,10,888,0.11163059163059164,0.05973881673881674,0.4173069679849341,0.060810810810810814,0.4189189189189189,57
qwen_qwen3_8b,Hinglish,9,789,0.11936184470883855,0.0570913257227449,0.4499503959888478,0.05576679340937896,0.43979721166032953,55
qwen_qwen3_8b,Marathi,10,887,0.11806929804143251,0.05629694410268347,0.405914142253849,0.05749718151071026,0.3923337091319053,68
qwen_qwen3_8b,Tamil,11,885,0.09468851817752484,0.042678598971824556,0.4639014535341344,0.04632768361581921,0.3898305084745763,55
qwen_qwen3_8b,Telugu,11,981,0.10332469693817728,0.03955803090190442,0.3521601074191047,0.040774719673802244,0.3414882772680938,65
